Filename, Lines, Bytes, sha1sum
postcode-ag.tsv, 68078853, 6845471350, d21e1c19f763d72953f744c675b047c8af735707 
postcode-ab.tsv, 46707135, 4836562771, 9d26811cf6e46088bdffe4080847f38e29773ca4
postcode-ac.tsv, 65479301, 6304360579, 6c36d25cda51b803334046f93395e3f083f32d40
postcode-ad.tsv, 
postcode-ae.tsv, 
postcode-af.tsv, 46615735, 4680125937, 60e6c21a1f17ceff613120f5ce6b87b94a8aaa1e
postcode-ag.tsv, 54776894, 5485637783, cdc50af02e11c6df67b9ce3a76db357e2138f5d3
postcode-ah.tsv, 71965954, 8144419175, ce88f9ec351f6a14c51ab3adda39e54252a44894
postcode-ai.tsv, 51158766, 4993185570, fa4c9eec9de4e5e816b961cc2a5e23c236f375a4
postcode-aj.tsv, 49974776, 5242451472, c09b0590d748474755445734a7c5470a7dcc6a76
postcode-ak.tsv, 33230876, 3745378315, 5cdf1863ddbeefaf5a84905c7b19058e4c37d934
postcode-al.tsv,128369311,13003333202, d5b72c57a279316531ea56f3fb4c21ad07aee28aa
